종가_등락률,거래량_등락률,고가-종가_비율,종가-저가_비율,연속상승,연속하락,RSI,target
-0.12,-34.59,0.5,0.12,0,1,51.85,1
-0.74,0.71,0.62,0.12,0,1,61.43,0
-0.37,-15.6,0.86,0.0,0,1,61.97,0
-1.1,35.98,1.34,0.25,0,0,63.51,0
0.37,-14.11,0.12,0.37,1,0,64.0,0
0.49,-28.18,0.37,0.49,1,0,57.14,1
1.37,35.47,0.25,1.35,1,0,63.49,1
0.12,17.69,0.62,0.25,1,0,52.11,1
0.13,-26.71,0.37,0.12,0,0,52.11,1
-0.75,7.69,0.12,0.38,0,1,53.62,1
-0.49,6.49,0.74,0.0,0,1,54.29,0
-1.1,-6.62,0.49,0.25,0,0,50.77,0
1.11,48.87,0.12,0.86,1,0,54.29,0
0.5,-4.5,0.37,0.37,0,0,53.52,1
-0.62,-25.11,0.49,0.0,0,0,53.52,1
0.0,-19.9,0.86,0.37,0,0,56.0,0
-0.12,17.96,0.49,0.12,0,1,52.17,0
-0.98,16.65,1.1,0.0,0,0,50.75,0
0.0,-22.52,0.85,0.12,0,0,50.0,0
-0.36,-8.92,1.09,0.37,0,1,52.38,0
-0.72,-38.7,0.6,0.85,0,0,58.06,0
2.48,80.0,0.24,2.05,1,0,73.68,0
0.25,16.76,0.74,0.62,1,0,55.26,1
0.12,5.53,0.86,0.62,1,0,54.55,1
0.5,7.78,0.12,1.12,1,0,50.0,1
0.63,-46.72,0.37,0.87,0,0,44.44,1
-0.25,93.57,0.5,0.63,0,1,33.82,1
-0.13,-12.07,0.87,0.13,0,0,40.98,0
0.25,1.72,0.62,0.13,0,0,44.83,0
-0.5,-36.08,0.87,0.25,0,0,38.18,1
0.75,26.72,1.72,0.37,0,0,42.37,0
-0.13,-5.45,0.25,0.5,0,0,37.5,1
0.0,-1.39,0.5,0.63,0,0,29.82,0
-0.62,7.84,1.61,0.5,0,0,29.82,0
2.04,-47.76,0.25,1.5,0,0,32.2,0
-1.88,-12.07,1.38,0.13,0,1,18.84,1
-1.48,23.5,1.48,0.25,0,1,43.75,0
